hys,direction,style,x,y
beta-hys,->,scatter,1.0,0.9992814620999999
beta-hys,->,scatter,0.7,0.9999999985
beta-hys,->,scatter,0.95,0.9999999975
beta-hys,->,scatter,0.65,0.9999999755
beta-hys,->,scatter,0.1,0.013637551999999999
beta-hys,->,scatter,0.3,0.1778746997
beta-hys,->,scatter,0.25,0.0624956321
beta-hys,->,scatter,0.75,0.9991562354000001
beta-hys,->,scatter,0.8,0.9994651175
beta-hys,->,scatter,0.9,0.9999992442
beta-hys,->,scatter,0.0,0.0021362425
beta-hys,->,scatter,0.25,0.0767508522
beta-hys,->,scatter,0.2,0.0426592097
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.3,0.14540549390000002
beta-hys,->,scatter,0.65,0.9999591747
beta-hys,->,scatter,0.75,0.9999999582
beta-hys,->,scatter,0.1,0.0069093133999999995
beta-hys,->,scatter,0.45,1.0
beta-hys,->,scatter,0.35,0.9999681884999999
beta-hys,->,scatter,0.05,0.003695678
beta-hys,->,scatter,0.85,0.9999978666
beta-hys,->,scatter,0.4,0.9999993237
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.4,0.9999999998000001
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.65,0.9999771973999999
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.8,0.999972805
beta-hys,->,scatter,1.0,0.9999915765
beta-hys,->,scatter,1.0,0.99844655
beta-hys,->,scatter,0.0,1e-10
beta-hys,->,scatter,0.85,0.9999975858
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.1,0.0120492055
beta-hys,->,scatter,0.8,0.9999998834
beta-hys,->,scatter,0.55,0.9999999184999999
beta-hys,->,scatter,0.5,0.9999999999
beta-hys,->,scatter,0.15,0.028786125299999996
beta-hys,->,scatter,0.65,0.9999987823
beta-hys,->,scatter,0.35,0.9999988906
beta-hys,->,scatter,0.0,1.78435e-05
beta-hys,->,scatter,1.0,0.9999856698
beta-hys,->,scatter,0.8,0.9999353778
beta-hys,->,scatter,1.0,0.9995640882
beta-hys,->,scatter,0.05,0.0007540341
beta-hys,->,scatter,0.7,0.9999999843
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.6,0.9999998631
beta-hys,->,scatter,1.0,0.9999981273
beta-hys,->,scatter,0.35,0.9999596993000001
beta-hys,->,scatter,0.3,0.9999986181
beta-hys,->,scatter,0.55,0.9976998504000001
beta-hys,->,scatter,0.6,0.9970604532999999
beta-hys,->,scatter,0.85,0.9999999654999999
beta-hys,->,scatter,0.35,0.9999999929000001
beta-hys,->,scatter,0.4,0.9999686461
beta-hys,->,scatter,0.9,0.9999999997
beta-hys,->,scatter,0.5,0.9999999959999999
beta-hys,->,scatter,0.35,0.9999999994
beta-hys,->,scatter,0.55,0.9999937589
beta-hys,->,scatter,0.4,0.9999439562000001
beta-hys,->,scatter,0.4,0.9999999595
beta-hys,->,scatter,0.45,1.0
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.5,0.99999982
beta-hys,->,scatter,0.05,0.0044959025
beta-hys,->,scatter,0.55,0.9999998604000001
beta-hys,->,scatter,0.75,0.9979252673000001
beta-hys,->,scatter,0.85,0.9990850011
beta-hys,->,scatter,0.85,0.9998962816
beta-hys,->,scatter,0.0,9.64e-08
beta-hys,->,scatter,0.0,2.7006e-06
beta-hys,->,scatter,0.75,0.9999999531999999
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.7,0.9999999994
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.8,0.9982849308
beta-hys,->,scatter,0.6,0.9999543549
beta-hys,->,scatter,0.4,0.9999999813
beta-hys,->,scatter,0.8,0.9999999984000001
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.55,0.9999996825
beta-hys,->,scatter,1.0,0.9981643937000001
beta-hys,->,scatter,1.0,0.9986425953
beta-hys,->,scatter,0.0,8.299e-07
beta-hys,->,scatter,0.55,0.9999998351
beta-hys,->,scatter,0.1,0.0093546951
beta-hys,->,scatter,1.0,0.9999850621999999
beta-hys,->,scatter,0.2,0.042720805099999995
beta-hys,->,scatter,0.95,1.0
beta-hys,->,scatter,0.25,0.0724059343
beta-hys,->,scatter,0.45,0.9986934220999999
beta-hys,->,scatter,0.15,0.0637792608
beta-hys,->,scatter,0.5,0.9999996419
beta-hys,->,scatter,0.3,0.2210251156
beta-hys,->,scatter,0.6,0.9999999976999999
beta-hys,->,scatter,0.3,0.4048198851
beta-hys,->,scatter,0.25,0.0649018928
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.65,0.999999992
beta-hys,->,scatter,0.35,0.9999778426
beta-hys,->,scatter,0.3,0.1623283455
beta-hys,->,scatter,0.05,0.0014694621
