hys,direction,style,x,y
alpha-hys,->,scatter,0.73,0.9999393023
alpha-hys,->,scatter,0.5,0.999989685
alpha-hys,->,scatter,0.63,0.9998930951999999
alpha-hys,->,scatter,0.14,0.047430777699999996
alpha-hys,->,scatter,0.17000000000000004,0.0654596155
alpha-hys,->,scatter,0.39,0.9999947701999999
alpha-hys,->,scatter,0.44999999999999996,1.0
alpha-hys,->,scatter,0.83,0.9894879518
alpha-hys,->,scatter,0.44999999999999996,0.9998561584000001
alpha-hys,->,scatter,0.72,0.999999998
alpha-hys,->,scatter,0.6599999999999999,0.9999999995000001
alpha-hys,->,scatter,0.88,0.9933956432
alpha-hys,->,scatter,0.06999999999999995,0.0329412892
alpha-hys,->,scatter,0.48,0.9999999999
alpha-hys,->,scatter,0.8,0.989931427
alpha-hys,->,scatter,1.0,0.9834040501000001
alpha-hys,->,scatter,0.31000000000000005,1.0
alpha-hys,->,scatter,0.94,0.9905002706999999
alpha-hys,->,scatter,0.06000000000000005,0.0386791089
alpha-hys,->,scatter,0.91,0.9957102295999999
alpha-hys,->,scatter,0.6,0.9999998420999999
alpha-hys,->,scatter,0.33999999999999997,0.9999999787999999
alpha-hys,->,scatter,0.040000000000000036,0.0286453834
alpha-hys,->,scatter,0.17000000000000004,0.0975514982
alpha-hys,->,scatter,0.8200000000000001,0.9918045223
alpha-hys,->,scatter,0.43999999999999995,1.0
alpha-hys,->,scatter,0.81,0.9974141897
alpha-hys,->,scatter,0.73,0.9995819718000001
alpha-hys,->,scatter,0.27,0.2343670041
alpha-hys,->,scatter,0.030000000000000027,0.0374335881
alpha-hys,->,scatter,0.30000000000000004,0.9999999505
alpha-hys,->,scatter,0.5700000000000001,0.9999999998000001
alpha-hys,->,scatter,0.31000000000000005,1.0
alpha-hys,->,scatter,0.32999999999999996,0.9999991291
alpha-hys,->,scatter,0.89,0.9954990990000001
alpha-hys,->,scatter,0.28,0.9999869412000001
alpha-hys,->,scatter,0.7,0.9999894778
alpha-hys,->,scatter,0.75,0.9966800845999999
alpha-hys,->,scatter,0.040000000000000036,0.0387559821
alpha-hys,->,scatter,0.52,0.9996292897
alpha-hys,->,scatter,0.74,0.9999614611
alpha-hys,->,scatter,0.19999999999999996,0.0756433053
alpha-hys,->,scatter,0.47,0.9984702741
alpha-hys,->,scatter,0.63,0.9982761935
alpha-hys,->,scatter,0.77,0.9972526569
alpha-hys,->,scatter,0.5700000000000001,0.9976000821
alpha-hys,->,scatter,0.42000000000000004,0.9999999931
alpha-hys,->,scatter,0.8,0.9971085653
alpha-hys,->,scatter,0.88,0.9994533752
alpha-hys,->,scatter,0.73,0.9935546456000001
alpha-hys,->,scatter,0.17000000000000004,0.099431596
alpha-hys,->,scatter,0.95,0.9956673573999999
alpha-hys,->,scatter,0.31999999999999995,0.9999998403
alpha-hys,->,scatter,0.10999999999999999,0.056994692699999995
alpha-hys,->,scatter,0.28,0.9999998923000001
alpha-hys,->,scatter,0.13,0.0744644701
alpha-hys,->,scatter,0.6,0.9992041665000001
alpha-hys,->,scatter,0.85,0.9920769361
alpha-hys,->,scatter,0.9299999999999999,0.9891599172
alpha-hys,->,scatter,0.79,0.9964615284
alpha-hys,->,scatter,0.06999999999999995,0.0249740057
alpha-hys,->,scatter,0.09999999999999998,0.053859698600000006
alpha-hys,->,scatter,0.92,0.9954939893000001
