alpha,beta,direction,x,y
0.2,0.6,->,0.05,0.9997077798999999
0.2,0.6,->,0.1,0.9976184481999999
0.2,0.6,->,0.15,0.9998504308
0.2,0.6,->,0.2,0.9998948146
0.2,0.6,->,0.25,0.9997244
0.2,0.6,->,0.3,0.9917142679000001
0.2,0.6,->,0.35,0.9992224914
0.2,0.6,->,0.4,0.9930023720000001
0.2,0.6,->,0.45,0.9950049309000001
0.2,0.6,->,0.5,0.9949223068
0.2,0.6,->,0.55,0.9965348812
0.2,0.6,->,0.6,0.9997928135999999
0.2,0.6,->,0.65,0.9950603173999999
0.2,0.6,->,0.7,0.9960329409
0.2,0.6,->,0.75,0.9946195656999999
0.2,0.6,->,0.8,0.9699253842
0.2,0.6,->,0.85,0.9843938864
0.2,0.6,->,0.9,0.9704252752
0.2,0.6,->,0.95,0.9036955752
alpha,beta,direction,x,y
0.2,0.6,<-,0.0,0.9900998042
0.2,0.6,<-,0.05,0.998504185
0.2,0.6,<-,0.1,0.9982040462999999
0.2,0.6,<-,0.15,0.9999974393000001
0.2,0.6,<-,0.2,0.9981401402
0.2,0.6,<-,0.25,0.9999493478
0.2,0.6,<-,0.3,0.9993314915000001
0.2,0.6,<-,0.35,0.9998484493
0.2,0.6,<-,0.4,0.9965643512000001
0.2,0.6,<-,0.45,0.9999243059
0.2,0.6,<-,0.5,0.9990489175
0.2,0.6,<-,0.55,0.9997718428
0.2,0.6,<-,0.6,0.9679603974
0.2,0.6,<-,0.65,0.9990727334
0.2,0.6,<-,0.7,0.9988663637999999
0.2,0.6,<-,0.75,0.969170069
0.2,0.6,<-,0.8,0.9775759106
0.2,0.6,<-,0.85,0.9572446826000001
0.2,0.6,<-,0.9,0.9528511318999999
0.2,0.6,<-,0.95,0.8708195952
alpha,beta,direction,x,y
0.2,0.8,->,0.0,0.9939270705
0.2,0.8,->,0.05,0.9991343636
0.2,0.8,->,0.1,0.9922534017
0.2,0.8,->,0.15,0.9999097045
0.2,0.8,->,0.2,0.9942405005
0.2,0.8,->,0.25,0.9951269813
0.2,0.8,->,0.3,0.9999769298000001
0.2,0.8,->,0.35,0.9919909337999999
0.2,0.8,->,0.4,0.9976915258
0.2,0.8,->,0.45,0.9995523302
0.2,0.8,->,0.5,0.9998425045
0.2,0.8,->,0.55,0.9942844363
0.2,0.8,->,0.6,0.9988492436
0.2,0.8,->,0.65,0.9993994748999999
0.2,0.8,->,0.7,0.998137638
0.2,0.8,->,0.75,0.9831214424
0.2,0.8,->,0.8,0.9824245959000001
0.2,0.8,->,0.85,0.9794159647
0.2,0.8,->,0.9,0.9736605618999999
0.2,0.8,->,0.95,0.9077432405
alpha,beta,direction,x,y
0.2,0.8,<-,0.0,0.9962457924
0.2,0.8,<-,0.05,0.9999901018
0.2,0.8,<-,0.1,0.9999959466
0.2,0.8,<-,0.15,0.9845995976999999
0.2,0.8,<-,0.2,0.9997440048999999
0.2,0.8,<-,0.25,0.9975979523
0.2,0.8,<-,0.3,0.9999963815
0.2,0.8,<-,0.35,0.9965801601000001
0.2,0.8,<-,0.4,0.9936551284999999
0.2,0.8,<-,0.45,0.9988590639
0.2,0.8,<-,0.5,0.9997441870999999
0.2,0.8,<-,0.55,0.9973500183
0.2,0.8,<-,0.6,0.9998811697
0.2,0.8,<-,0.65,0.9967439634
0.2,0.8,<-,0.7,0.9901961718000001
0.2,0.8,<-,0.75,0.9926391414
0.2,0.8,<-,0.8,0.9656835484999999
0.2,0.8,<-,0.85,0.9596263832999999
0.2,0.8,<-,0.9,0.976887671
0.2,0.8,<-,0.95,0.946069038
alpha,beta,direction,x,y
0.2,1,->,0.0,0.9976144854000001
0.2,1,->,0.05,0.9999008351
0.2,1,->,0.1,0.9939373003
0.2,1,->,0.15,0.9982157811
0.2,1,->,0.2,0.9989353561
0.2,1,->,0.25,0.9972987798999999
0.2,1,->,0.3,0.9999567988
0.2,1,->,0.35,0.9987700072
0.2,1,->,0.4,0.9992076501
0.2,1,->,0.45,0.9996007393999999
0.2,1,->,0.5,0.9951487498999999
0.2,1,->,0.55,0.999917765
0.2,1,->,0.6,0.9973666983
0.2,1,->,0.65,0.994191842
0.2,1,->,0.7,0.9999907224
0.2,1,->,0.75,0.9998860740000001
0.2,1,->,0.8,0.9999988637999999
0.2,1,->,0.85,0.9805887781
0.2,1,->,0.9,0.9723655741
0.2,1,->,0.95,0.9490943578000001
alpha,beta,direction,x,y
0.2,1,<-,0.0,0.9960569912999999
0.2,1,<-,0.05,0.9968247529
0.2,1,<-,0.1,0.9997076834
0.2,1,<-,0.15,0.9998506854000001
0.2,1,<-,0.2,0.9999874994
0.2,1,<-,0.25,0.9940583993000001
0.2,1,<-,0.3,0.9995306878
0.2,1,<-,0.35,0.9989547665999999
0.2,1,<-,0.4,0.9928616015
0.2,1,<-,0.45,0.9972127947
0.2,1,<-,0.5,0.9999967194
0.2,1,<-,0.55,0.9951084805
0.2,1,<-,0.6,0.999991958
0.2,1,<-,0.65,0.9985668862
0.2,1,<-,0.7,0.9999998175
0.2,1,<-,0.75,0.9930525668000001
0.2,1,<-,0.8,0.9981265025
0.2,1,<-,0.85,0.9682399717
0.2,1,<-,0.9,0.9653181927
0.2,1,<-,0.95,0.9132931299
alpha,beta,direction,x,y
0.4,0,->,0.0,0.0
0.4,0,->,0.05,0.0003099267
0.4,0,->,0.1,3.7e-09
0.4,0,->,0.15,0.0002068226
0.4,0,->,0.2,1.621e-07
0.4,0,->,0.25,6.934e-07
0.4,0,->,0.3,2.9891000000000003e-06
0.4,0,->,0.35,0.0049630136
0.4,0,->,0.4,0.0014945167999999998
0.4,0,->,0.45,0.000214793
0.4,0,->,0.5,7.7e-09
0.4,0,->,0.55,0.24962400839999999
0.4,0,->,0.6,0.3393784182
0.4,0,->,0.65,0.19708648739999998
0.4,0,->,0.7,0.1944098299
0.4,0,->,0.75,2e-10
0.4,0,->,0.8,0.2766552101
0.4,0,->,0.85,0.2671503485
0.4,0,->,0.9,0.2758606327
0.4,0,->,0.95,0.3387195708
alpha,beta,direction,x,y
0.4,0,<-,0.0,0.47483436100000004
0.4,0,<-,0.05,0.47399525090000005
0.4,0,<-,0.1,0.4749423093
0.4,0,<-,0.15,0.4735469382
0.4,0,<-,0.2,0.47424236189999996
0.4,0,<-,0.25,0.39097364030000004
0.4,0,<-,0.3,0.39099338770000003
0.4,0,<-,0.35,0.3411536379
0.4,0,<-,0.4,0.34027987719999997
0.4,0,<-,0.45,0.3915545847
0.4,0,<-,0.5,0.34058086020000006
0.4,0,<-,0.55,0.2795367998
0.4,0,<-,0.6,0.2792991094
0.4,0,<-,0.65,0.3399696208
0.4,0,<-,0.7,0.2757145018
0.4,0,<-,0.75,0.1935246356
0.4,0,<-,0.8,0.0003051062
0.4,0,<-,0.85,0.1929186491
0.4,0,<-,0.9,0.3907430692
0.4,0,<-,0.95,0.33960059119999997
alpha,beta,direction,x,y
0.4,0.2,->,0.0,0.9969896859999999
0.4,0.2,->,0.05,0.9961381964
0.4,0.2,->,0.1,0.9999999998000001
0.4,0.2,->,0.15,0.9999953492
0.4,0.2,->,0.2,0.9999998473
0.4,0.2,->,0.25,0.9996194065
0.4,0.2,->,0.3,0.9999999982
0.4,0.2,->,0.4,0.9991655951
0.4,0.2,->,0.5,0.9121318319
0.4,0.2,->,0.55,0.6665752897
0.4,0.2,->,0.6,0.4970753126
0.4,0.2,->,0.65,0.3304609406
0.4,0.2,->,0.7,0.18617219850000002
0.4,0.2,->,0.75,0.3324346748
0.4,0.2,->,0.8,0.3865691636
0.4,0.2,->,0.85,0.1838458187
0.4,0.2,->,0.9,0.16751888880000002
0.4,0.2,->,0.95,0.2727807419
